x_est	y_est	vx_est	vy_est	yaw_est	yaw_rate_est	px	py	timestamp	x_gt	y_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt
17.0155	5.10865	3.47655	3.65743	0.810747	0.423368	16.995461	5.210994	1477010446400000	16.979950	4.920767	3.594156	3.428969	0.761882	0.419343
17.3436	5.45547	3.29661	3.74424	0.848889	0.420956	17.289419	5.435416	1477010446500000	17.331881	5.270941	3.439602	3.570283	0.804038	0.428154
17.6907	5.74259	3.19765	3.67977	0.855385	0.383981	17.785290	5.624759	1477010446600000	17.667910	5.635059	3.276367	3.707622	0.847069	0.436695
18.0085	6.12642	3.0143	3.7998	0.900167	0.395626	18.126289	6.169846	1477010446700000	17.987169	6.012686	3.104526	3.840274	0.890947	0.444959
18.281	6.57339	2.80102	4.04177	0.964772	0.42306	18.216431	6.661379	1477010446800000	18.288811	6.403317	2.924208	3.967526	0.935644	0.452943
18.5601	6.9203	2.66084	4.02387	0.986544	0.401478	18.542179	6.760131	1477010446900000	18.572001	6.806376	2.735598	4.088665	0.981133	0.460640
18.9056	7.26815	2.71182	4.01592	0.976863	0.340864	19.144119	7.183445	1477010447000000	18.835911	7.221216	2.538932	4.202987	1.027384	0.468047
19.0864	7.73319	2.34272	4.19835	1.06182	0.405125	19.013750	7.868800	1477010447100000	19.079750	7.647117	2.334504	4.309797	1.074368	0.475158
19.2871	8.15713	2.141	4.29822	1.10866	0.410511	19.132021	8.128449	1477010447200000	19.302759	8.083295	2.122663	4.408416	1.122056	0.481969
19.4812	8.51268	2.01347	4.24833	1.12821	0.382198	19.347010	8.307412	1477010447300000	19.504219	8.528895	1.903813	4.498188	1.170417	0.488475
19.7338	8.89513	1.95573	4.21994	1.13681	0.352344	20.003880	8.890601	1477010447400000	19.683451	8.983001	1.678411	4.578481	1.219422	0.494673
19.9379	9.34494	1.78835	4.30836	1.17735	0.363573	20.157379	9.459486	1477010447500000	19.839821	9.444632	1.446969	4.648694	1.269038	0.500558
20.0719	9.80618	1.49501	4.38585	1.24228	0.404326	20.157310	9.908763	1477010447600000	19.972759	9.912751	1.210049	4.708261	1.319235	0.506127
20.18	10.337	1.23422	4.6207	1.30978	0.429487	20.166010	10.468720	1477010447700000	20.081751	10.386270	0.968259	4.756658	1.369981	0.511377
20.2546	10.8493	0.887618	4.72447	1.38508	0.473501	20.371050	11.010860	1477010447800000	20.166330	10.864040	0.722256	4.793403	1.421244	0.516304
20.3171	11.3481	0.633694	4.80953	1.43979	0.478652	20.316420	11.348340	1477010447900000	20.226120	11.344870	0.472738	4.818065	1.472992	0.520904
20.3364	11.8336	0.248116	4.7682	1.51881	0.531707	20.614090	11.942150	1477010448000000	20.260799	11.827540	0.220439	4.830266	1.525191	0.525176
20.3458	12.3632	0.0254962	4.91573	1.56561	0.509667	20.326281	12.496630	1477010448100000	20.270140	12.310780	-0.033869	4.829682	1.577809	0.529115
20.3227	12.8371	-0.306767	4.82845	1.63424	0.544579	20.498030	12.892370	1477010448200000	20.253981	12.793310	-0.289390	4.816052	1.630813	0.532721
20.2777	13.276	-0.559251	4.72418	1.68863	0.54766	20.194300	13.168790	1477010448300000	20.212231	13.273790	-0.545298	4.789175	1.684169	0.535990
20.2171	13.7725	-0.800064	4.74471	1.73785	0.537641	20.324530	13.889630	1477010448400000	20.144899	13.750910	-0.800753	4.748916	1.737843	0.538920
20.1055	14.2566	-1.1159	4.6984	1.80398	0.556456	20.121559	14.337040	1477010448500000	20.052080	14.223320	-1.054898	4.695207	1.791802	0.541510
19.9227	14.745	-1.49098	4.66217	1.88032	0.576626	19.780970	14.772960	1477010448600000	19.933950	14.689680	-1.306871	4.628048	1.846011	0.543759
19.8278	15.1758	-1.58836	4.55183	1.90654	0.535417	20.020830	15.205300	1477010448700000	19.790760	15.148630	-1.555808	4.547507	1.900437	0.545663
19.6736	15.564	-1.87535	4.25633	1.98581	0.597228	19.913090	15.554040	1477010448800000	19.622869	15.598860	-1.800848	4.453722	1.955044	0.547223
